Dominio,Problema,Delta,Risolto,Stati Raggiungibili,Azioni,Durata Piano,Comp-Time,CPU-Time
Solar-Rover,prob16.pddl,5,true,3556980,3695247,800.00,5.21,94.13
Solar-Rover,prob16.pddl,10,true,746729,773320,800.00,5.05,24.65
Solar-Rover,prob16.pddl,20,true,213311,220069,800.00,6.14,12.22
Solar-Rover,prob16.pddl,30,true,124077,128054,810.00,6.62,10.11
Solar-Rover,prob16.pddl,50,true,70261,71990,800.00,5.08,7.44
Solar-Rover,prob16.pddl,100,true,42453,43156,800.00,4.86,6.64
Solar-Rover,prob17.pddl,1,false,,,,6.54,
Solar-Rover,prob17.pddl,2,false,,,,5.29,
Solar-Rover,prob17.pddl,3,false,,,,7.16,
Solar-Rover,prob17.pddl,5,true,3797920,3945717,850.00,6.11,133.49
Solar-Rover,prob17.pddl,10,true,797274,825690,850.00,6.88,34.25
Solar-Rover,prob17.pddl,20,true,230648,237961,860.00,6.52,13.95
Solar-Rover,prob17.pddl,30,true,134075,138374,870.00,6.63,11.21
Solar-Rover,prob17.pddl,50,true,75080,76928,850.00,6.46,9.97
Solar-Rover,prob17.pddl,100,true,48472,49277,900.00,7.11,9.53
Solar-Rover,prob18.pddl,1,false,,,,5.56,
Solar-Rover,prob18.pddl,2,false,,,,7.48,
Solar-Rover,prob18.pddl,3,false,,,,6.90,
Solar-Rover,prob18.pddl,5,true,4038860,4196187,900.00,5.17,106.61
Solar-Rover,prob18.pddl,10,true,847819,878060,900.00,5.28,26.33
Solar-Rover,prob18.pddl,20,true,242206,249889,900.00,5.81,12.70
Solar-Rover,prob18.pddl,30,true,139074,143534,900.00,6.12,10.57
Solar-Rover,prob18.pddl,50,true,79899,81866,900.00,5.23,8.13
Solar-Rover,prob18.pddl,100,true,48472,49277,900.00,6.07,8.30
Solar-Rover,prob19.pddl,1,false,,,,5.47,
Solar-Rover,prob19.pddl,2,false,,,,5.74,
Solar-Rover,prob19.pddl,3,false,,,,6.47,
Solar-Rover,prob19.pddl,5,true,4279800,4446657,950.00,5.38,115.27
Solar-Rover,prob19.pddl,10,true,898364,930430,950.00,5.08,26.02
Solar-Rover,prob19.pddl,20,true,259543,267781,960.00,4.91,11.59
Solar-Rover,prob19.pddl,30,true,149072,153854,960.00,6.37,10.35
Solar-Rover,prob19.pddl,50,true,84718,86804,950.00,5.15,7.78
Solar-Rover,prob19.pddl,100,true,54491,55398,1000.00,5.22,7.84
Solar-Rover,prob20.pddl,1,false,,,,5.34,
Solar-Rover,prob20.pddl,2,false,,,,6.50,
Solar-Rover,prob20.pddl,3,false,,,,4.97,
Solar-Rover,prob20.pddl,5,true,4520740,4697127,1000.00,5.05,122.42
Solar-Rover,prob20.pddl,10,true,948909,982800,1000.00,5.14,27.59
Solar-Rover,prob20.pddl,20,true,271101,279709,1000.00,5.16,11.65
Solar-Rover,prob20.pddl,30,true,159070,164174,1020.00,5.04,9.22
Solar-Rover,prob20.pddl,50,true,89537,91742,1000.00,5.17,8.50
Solar-Rover,prob20.pddl,100,true,54491,55398,1000.00,5.72,8.10
Baxter,P4_i1.pddl,1,true,152,189,3.00,8.15,9.33
Baxter,P4_i1.pddl,2,true,69,92,3.00,8.83,10.01
Baxter,P4_i1.pddl,3,true,55,66,3.00,8.64,9.83
Baxter,P4_i1.pddl,5,true,43,54,3.00,8.12,9.53
Baxter,P4_i1.pddl,10,true,43,54,3.00,8.47,9.59
Baxter,P4_i1.pddl,20,true,43,54,3.00,8.45,9.63
Baxter,P4_i1.pddl,30,true,43,54,3.00,8.58,9.72
Baxter,P4_i1.pddl,50,true,43,54,3.00,7.81,8.94
Baxter,P4_i1.pddl,100,true,43,54,3.00,7.85,8.98
Baxter,P4_i2.pddl,1,true,53361,82462,8.00,8.21,10.43
Baxter,P4_i2.pddl,2,true,10232,14131,9.00,7.86,9.49
Baxter,P4_i2.pddl,3,true,1974,2566,8.00,7.74,8.96
Baxter,P4_i2.pddl,5,true,663,830,8.00,8.28,9.68
Baxter,P4_i2.pddl,10,true,1067,1234,15.00,12.33,14.46
Baxter,P4_i2.pddl,20,true,9100,10580,45.00,13.48,15.53
Baxter,P4_i2.pddl,30,true,1055,1222,33.00,9.26,10.48
Baxter,P4_i2.pddl,50,true,15454,16993,105.00,9.11,11.30
Baxter,P4_i2.pddl,100,true,2315,2482,105.00,9.29,11.11
Baxter,P4_i3.pddl,1,true,1301,1781,5.00,8.22,9.42
Baxter,P4_i3.pddl,2,true,322,381,5.00,7.83,9.30
Baxter,P4_i3.pddl,3,true,129,153,5.00,8.09,9.41
Baxter,P4_i3.pddl,5,true,81,92,5.00,7.86,8.99
Baxter,P4_i3.pddl,10,true,69,80,5.00,7.74,8.87
Baxter,P4_i3.pddl,20,true,69,80,5.00,7.91,9.03
Baxter,P4_i3.pddl,30,true,69,80,5.00,7.77,8.89
Baxter,P4_i3.pddl,50,true,69,80,5.00,9.85,10.98
Baxter,P4_i3.pddl,100,true,69,80,5.00,7.79,8.92
Baxter,P4_i4.pddl,1,true,1538,2123,5.00,9.21,10.36
Baxter,P4_i4.pddl,2,true,400,531,5.00,7.82,8.97
Baxter,P4_i4.pddl,3,true,207,237,5.00,7.86,9.00
Baxter,P4_i4.pddl,5,true,87,98,5.00,9.33,10.79
Baxter,P4_i4.pddl,10,true,75,86,5.00,8.73,9.89
Baxter,P4_i4.pddl,20,true,75,86,5.00,8.39,9.55
Baxter,P4_i4.pddl,30,true,75,86,5.00,8.43,9.60
Baxter,P4_i4.pddl,50,true,75,86,5.00,7.90,9.03
Baxter,P4_i4.pddl,100,true,75,86,5.00,7.83,8.99
Baxter,P4_i5.pddl,1,true,70206,108748,10.00,8.20,10.73
Baxter,P4_i5.pddl,2,true,8031,10625,10.00,8.25,10.12
Baxter,P4_i5.pddl,3,true,2457,3114,10.00,9.61,10.94
Baxter,P4_i5.pddl,5,true,739,906,10.00,7.88,9.06
Baxter,P4_i5.pddl,10,true,151,162,10.00,9.23,10.49
Baxter,P4_i5.pddl,20,true,139,150,10.00,8.65,9.81
Baxter,P4_i5.pddl,30,true,139,150,10.00,8.28,9.46
Baxter,P4_i5.pddl,50,true,139,150,10.00,8.88,10.22
Baxter,P4_i5.pddl,100,true,139,150,10.00,8.25,9.46
Baxter,P5_i1.pddl,1,true,288376,440217,11.00,8.23,16.55
Baxter,P5_i1.pddl,2,true,22478,30889,11.00,8.06,10.81
Baxter,P5_i1.pddl,3,true,6285,7762,11.00,8.24,9.87
Baxter,P5_i1.pddl,5,true,1408,1712,11.00,7.90,9.15
Baxter,P5_i1.pddl,10,true,225,256,11.00,8.02,9.17
Baxter,P5_i1.pddl,20,true,191,206,11.00,7.99,9.20
Baxter,P5_i1.pddl,30,true,191,206,11.00,8.67,9.82
Baxter,P5_i1.pddl,50,true,191,206,11.00,8.03,9.16
Baxter,P5_i1.pddl,100,true,191,206,11.00,7.86,8.99
Baxter,P5_i2.pddl,1,true,2456318,3917884,10.00,8.25,72.59
Baxter,P5_i2.pddl,2,true,157406,209586,12.00,7.87,19.07
Baxter,P5_i2.pddl,3,true,26475,34476,10.00,10.53,16.68
Baxter,P5_i2.pddl,5,true,18025,22092,16.00,9.91,13.53
Baxter,P5_i2.pddl,10,true,2171,2458,16.00,8.70,10.14
Baxter,P5_i2.pddl,20,true,2205,2492,26.00,8.52,9.90
Baxter,P5_i2.pddl,30,true,2375,2662,36.00,9.98,11.46
Baxter,P5_i2.pddl,50,true,2851,3138,56.00,11.72,13.79
Baxter,P5_i2.pddl,100,true,3565,3852,106.00,9.66,11.35
Baxter,P5_i3.pddl,1,true,11770,16078,7.00,8.15,9.54
Baxter,P5_i3.pddl,2,true,1868,2506,7.00,9.76,11.07
Baxter,P5_i3.pddl,3,true,779,1082,7.00,9.20,10.60
Baxter,P5_i3.pddl,5,true,186,217,7.00,7.99,9.15
Baxter,P5_i3.pddl,10,true,122,137,7.00,8.43,9.57
Baxter,P5_i3.pddl,20,true,122,137,7.00,8.19,9.34
Baxter,P5_i3.pddl,30,true,122,137,7.00,8.21,9.35
Baxter,P5_i3.pddl,50,true,122,137,7.00,8.38,9.54
Baxter,P5_i3.pddl,100,true,122,137,7.00,8.27,9.54
Baxter,P5_i4.pddl,1,false,,,,8.29,
Baxter,P5_i4.pddl,2,true,959529,1329019,16.00,8.41,78.41
Baxter,P5_i4.pddl,3,true,160223,208717,16.00,8.54,21.40
Baxter,P5_i4.pddl,5,true,25323,30272,17.00,7.97,11.23
Baxter,P5_i4.pddl,10,true,11649,14595,24.00,9.19,12.17
Baxter,P5_i4.pddl,20,true,1691,1978,24.00,14.48,16.45
Baxter,P5_i4.pddl,30,true,18650,21941,64.00,12.21,15.93
Baxter,P5_i4.pddl,50,true,2338,2625,54.00,10.86,12.71
Baxter,P5_i4.pddl,100,true,40229,43580,204.00,12.43,20.67
Baxter,P5_i5.pddl,1,false,,,,8.21,
Baxter,P5_i5.pddl,2,false,,,,11.54,
Baxter,P5_i5.pddl,3,false,,,,8.37,
Baxter,P5_i5.pddl,5,false,,,,10.05,
Baxter,P5_i5.pddl,10,false,,,,7.98,
Baxter,P5_i5.pddl,20,false,,,,7.99,
Baxter,P5_i5.pddl,30,false,,,,8.42,
Baxter,P5_i5.pddl,50,false,,,,7.94,
Baxter,P5_i5.pddl,100,false,,,,7.86,
Baxter,P6_i1.pddl,1,true,68190,96902,8.00,8.39,11.25
Baxter,P6_i1.pddl,2,true,8183,10043,8.00,8.46,10.23
Baxter,P6_i1.pddl,3,true,2381,2900,8.00,8.32,9.72
Baxter,P6_i1.pddl,5,true,881,1130,8.00,10.09,11.26
Baxter,P6_i1.pddl,10,true,181,200,8.00,8.86,10.02
Baxter,P6_i1.pddl,20,true,181,200,8.00,8.33,9.48
Baxter,P6_i1.pddl,30,true,181,200,8.00,10.21,11.36
Baxter,P6_i1.pddl,50,true,181,200,8.00,8.16,9.30
Baxter,P6_i1.pddl,100,true,181,200,8.00,8.44,9.58
Baxter,P6_i2.pddl,1,true,7573,10480,6.00,8.34,9.66
Baxter,P6_i2.pddl,2,true,1588,2089,6.00,9.51,10.73
Baxter,P6_i2.pddl,3,true,670,748,6.00,8.36,9.52
Baxter,P6_i2.pddl,5,true,172,211,6.00,10.20,11.81
Baxter,P6_i2.pddl,10,true,130,149,6.00,8.51,9.65
Baxter,P6_i2.pddl,20,true,130,149,6.00,8.31,9.48
Baxter,P6_i2.pddl,30,true,130,149,6.00,8.51,9.62
Baxter,P6_i2.pddl,50,true,130,149,6.00,8.10,9.22
Baxter,P6_i2.pddl,100,true,130,149,6.00,8.12,9.23
Baxter,P6_i3.pddl,1,false,,,,8.39,
Baxter,P6_i3.pddl,2,true,508175,729735,13.00,8.45,59.28
Baxter,P6_i3.pddl,3,true,82620,108826,13.00,9.68,20.73
Baxter,P6_i3.pddl,5,true,43155,51580,17.00,8.43,15.38
Baxter,P6_i3.pddl,10,true,3539,3978,17.00,8.14,9.72
Baxter,P6_i3.pddl,20,true,6084,6523,32.00,8.17,10.10
Baxter,P6_i3.pddl,30,true,2987,3426,35.00,8.43,9.95
Baxter,P6_i3.pddl,50,true,5181,5620,59.00,9.61,11.38
Baxter,P6_i3.pddl,100,true,5640,6079,107.00,8.43,10.41
Baxter,P6_i4.pddl,1,false,,,,8.34,
Baxter,P6_i4.pddl,2,false,,,,9.14,
Baxter,P6_i4.pddl,3,true,661416,912046,18.00,8.46,79.26
Baxter,P6_i4.pddl,5,true,56549,69373,18.00,8.82,15.96
Baxter,P6_i4.pddl,10,true,24721,30545,25.00,8.97,12.90
Baxter,P6_i4.pddl,20,true,86177,92295,55.00,8.09,22.22
Baxter,P6_i4.pddl,30,true,7603,8042,45.00,10.19,13.21
Baxter,P6_i4.pddl,50,true,105905,112114,115.00,8.73,24.23
Baxter,P6_i4.pddl,100,true,9073,9512,115.00,8.21,10.54
Baxter,P6_i5.pddl,1,false,,,,8.32,
Baxter,P6_i5.pddl,2,false,,,,8.01,
Baxter,P6_i5.pddl,3,true,387043,502266,17.00,8.73,47.45
Baxter,P6_i5.pddl,5,true,38849,46626,17.00,8.70,14.17
Baxter,P6_i5.pddl,10,true,9736,11318,22.00,8.60,10.81
Baxter,P6_i5.pddl,20,true,663801,726841,72.00,8.69,99.22
Baxter,P6_i5.pddl,30,true,6280,6719,42.00,8.58,10.60
Baxter,P6_i5.pddl,50,true,6574,7013,62.00,8.77,11.08
Baxter,P6_i5.pddl,100,true,7834,8273,112.00,8.97,11.23
Baxter,P7_i1.pddl,1,false,,,,8.59,
Baxter,P7_i1.pddl,2,false,,,,8.74,
Baxter,P7_i1.pddl,3,true,859538,1115809,17.00,9.24,123.67
Baxter,P7_i1.pddl,5,true,65352,78304,17.00,9.39,20.59
Baxter,P7_i1.pddl,10,true,44684,54469,25.00,9.21,17.48
Baxter,P7_i1.pddl,20,true,4101,4724,25.00,9.25,11.18
Baxter,P7_i1.pddl,30,true,8702,9325,42.00,10.28,13.50
Baxter,P7_i1.pddl,50,true,4551,5174,55.00,10.57,12.50
Baxter,P7_i1.pddl,100,true,100075,110458,205.00,8.74,27.49
Baxter,P7_i2.pddl,1,false,,,,8.60,
Baxter,P7_i2.pddl,2,false,,,,8.80,
Baxter,P7_i2.pddl,3,false,,,,9.07,
Baxter,P7_i2.pddl,5,false,,,,9.45,
Baxter,P7_i2.pddl,10,true,1130629,1288320,41.00,9.95,210.22
Baxter,P7_i2.pddl,20,false,,,,8.86,
Baxter,P7_i2.pddl,30,false,,,,8.98,
Baxter,P7_i2.pddl,50,true,83086,93465,104.00,12.11,32.50
Baxter,P7_i2.pddl,100,true,79681,82267,201.00,11.68,32.31
Baxter,P7_i3.pddl,1,false,,,,8.59,
Baxter,P7_i3.pddl,2,false,,,,12.79,
Baxter,P7_i3.pddl,3,true,852294,1109037,17.00,10.73,141.02
Baxter,P7_i3.pddl,5,true,92913,114401,18.00,12.11,29.87
Baxter,P7_i3.pddl,10,true,5450,6073,18.00,11.76,14.77
Baxter,P7_i3.pddl,20,true,5676,6299,28.00,12.61,15.19
Baxter,P7_i3.pddl,30,true,84031,94370,68.00,11.46,33.39
Baxter,P7_i3.pddl,50,true,6426,7049,58.00,13.06,18.12
Baxter,P7_i3.pddl,100,true,7676,8299,108.00,11.65,14.19
Baxter,P7_i4.pddl,1,false,,,,8.67,
Baxter,P7_i4.pddl,2,false,,,,9.22,
Baxter,P7_i4.pddl,3,false,,,,9.35,
Baxter,P7_i4.pddl,5,true,680966,839881,22.00,9.13,110.69
Baxter,P7_i4.pddl,10,true,61417,70927,25.00,8.47,19.65
Baxter,P7_i4.pddl,20,false,,,,8.89,
Baxter,P7_i4.pddl,30,true,143132,153416,72.00,8.64,48.49
Baxter,P7_i4.pddl,50,false,,,,12.78,
Baxter,P7_i4.pddl,100,true,119111,129449,205.00,12.46,43.82
Baxter,P7_i5.pddl,1,false,,,,8.51,
Baxter,P7_i5.pddl,2,false,,,,11.76,
Baxter,P7_i5.pddl,3,false,,,,12.80,
Baxter,P7_i5.pddl,5,false,,,,12.78,
Baxter,P7_i5.pddl,10,false,,,,8.69,
Baxter,P7_i5.pddl,20,false,,,,8.76,
Baxter,P7_i5.pddl,30,false,,,,13.64,
Baxter,P7_i5.pddl,50,true,1300399,1424374,158.00,9.62,255.40
Baxter,P7_i5.pddl,100,true,179701,190093,211.00,9.03,45.13
Linear-Generator,instance_1.pddl,1,true,6029213,6531615,1000.00,5.28,135.56
Linear-Generator,instance_1.pddl,2,true,1763983,1890208,1000.00,5.44,62.78
Linear-Generator,instance_1.pddl,3,true,898889,955484,1000.00,5.75,32.09
Linear-Generator,instance_1.pddl,5,true,406889,427385,1000.00,5.45,19.18
Linear-Generator,instance_1.pddl,10,true,154865,160114,1000.00,6.91,12.82
Linear-Generator,instance_1.pddl,20,true,66438,67812,1000.00,6.51,9.78
Linear-Generator,instance_1.pddl,30,true,42716,43375,1000.00,8.32,11.50
Linear-Generator,instance_1.pddl,50,true,25369,25617,1000.00,9.31,11.64
Linear-Generator,instance_1.pddl,100,true,13679,13752,1000.00,8.69,10.97
Linear-Generator,instance_2.pddl,1,false,,,,5.57,
Linear-Generator,instance_2.pddl,2,false,,,,9.23,
Linear-Generator,instance_2.pddl,3,true,4830035,5508308,1000.00,7.18,202.89
Linear-Generator,instance_2.pddl,5,true,1627261,1791097,1000.00,9.12,84.55
Linear-Generator,instance_2.pddl,10,true,464615,496087,1000.00,8.60,25.12
Linear-Generator,instance_2.pddl,20,true,172867,181109,1000.00,7.02,14.11
Linear-Generator,instance_2.pddl,30,true,104269,108195,1000.00,7.60,12.62
Linear-Generator,instance_2.pddl,50,true,57731,59224,1000.00,7.43,10.54
Linear-Generator,instance_2.pddl,100,true,29331,29774,1000.00,6.06,8.04
Linear-Generator,instance_3.pddl,1,false,,,,5.70,
Linear-Generator,instance_3.pddl,2,false,,,,7.00,
Linear-Generator,instance_3.pddl,3,false,,,,6.18,
Linear-Generator,instance_3.pddl,5,true,6505230,7487017,1000.00,7.89,281.17
Linear-Generator,instance_3.pddl,10,true,1393441,1534896,1000.00,6.22,68.30
Linear-Generator,instance_3.pddl,20,true,465668,502714,1000.00,7.59,26.05
Linear-Generator,instance_3.pddl,30,true,265154,282696,1000.00,6.75,18.67
Linear-Generator,instance_3.pddl,50,true,136647,143367,1000.00,7.36,12.84
Linear-Generator,instance_3.pddl,100,true,64619,66617,1000.00,6.38,9.45
Linear-Generator,instance_4.pddl,1,false,,,,5.86,
Linear-Generator,instance_4.pddl,2,false,,,,6.36,
Linear-Generator,instance_4.pddl,3,false,,,,6.26,
Linear-Generator,instance_4.pddl,5,false,,,,6.79,
Linear-Generator,instance_4.pddl,10,true,4177679,4742617,1000.00,6.14,197.92
Linear-Generator,instance_4.pddl,20,true,1290919,1438869,1000.00,6.18,58.20
Linear-Generator,instance_4.pddl,30,true,700361,770137,1000.00,7.30,35.01
Linear-Generator,instance_4.pddl,50,true,336853,363727,1000.00,6.03,19.73
Linear-Generator,instance_4.pddl,100,true,147219,155220,1000.00,6.04,12.10
Linear-Generator,instance_5.pddl,1,false,,,,6.09,
Linear-Generator,instance_5.pddl,2,false,,,,6.49,
Linear-Generator,instance_5.pddl,3,false,,,,6.04,
Linear-Generator,instance_5.pddl,5,false,,,,6.06,
Linear-Generator,instance_5.pddl,10,false,,,,6.04,
Linear-Generator,instance_5.pddl,20,true,3659574,4213320,1000.00,5.99,157.22
Linear-Generator,instance_5.pddl,30,true,1904652,2164636,1000.00,5.95,82.99
Linear-Generator,instance_5.pddl,50,true,863190,963833,1000.00,5.93,40.19
Linear-Generator,instance_5.pddl,100,true,348627,378615,1000.00,6.87,20.65
Linear-Generator,instance_6.pddl,1,false,,,,6.76,
Linear-Generator,instance_6.pddl,2,false,,,,6.07,
Linear-Generator,instance_6.pddl,3,false,,,,6.80,
Linear-Generator,instance_6.pddl,5,false,,,,7.04,
Linear-Generator,instance_6.pddl,10,false,,,,6.97,
Linear-Generator,instance_6.pddl,20,false,,,,6.35,
Linear-Generator,instance_6.pddl,30,false,,,,9.78,
Linear-Generator,instance_6.pddl,50,true,2303600,2665621,1000.01,8.77,140.45
Linear-Generator,instance_6.pddl,100,true,863693,971516,1000.01,7.20,55.44
Linear-Generator,instance_7.pddl,1,false,,,,6.05,
Linear-Generator,instance_7.pddl,2,false,,,,7.91,
Linear-Generator,instance_7.pddl,3,false,,,,8.81,
Linear-Generator,instance_7.pddl,5,false,,,,8.40,
Linear-Generator,instance_7.pddl,10,false,,,,6.48,
Linear-Generator,instance_7.pddl,20,false,,,,6.35,
Linear-Generator,instance_7.pddl,30,false,,,,8.52,
Linear-Generator,instance_7.pddl,50,false,,,,6.24,
Linear-Generator,instance_7.pddl,100,true,2225716,2602662,1000.01,6.02,110.14
Linear-Generator,instance_8.pddl,1,false,,,,6.20,
Linear-Generator,instance_8.pddl,2,false,,,,6.06,
Linear-Generator,instance_8.pddl,3,false,,,,9.49,
Linear-Generator,instance_8.pddl,5,false,,,,13.02,
Linear-Generator,instance_8.pddl,10,false,,,,9.46,
Linear-Generator,instance_8.pddl,20,false,,,,8.34,
Linear-Generator,instance_8.pddl,30,false,,,,7.34,
Linear-Generator,instance_8.pddl,50,false,,,,10.44,
Linear-Generator,instance_8.pddl,100,false,,,,9.57,
Linear-Generator,instance_9.pddl,1,false,,,,6.96,
Linear-Generator,instance_9.pddl,2,false,,,,10.14,
Linear-Generator,instance_9.pddl,3,false,,,,10.00,
Linear-Generator,instance_9.pddl,5,false,,,,11.46,
Linear-Generator,instance_9.pddl,10,false,,,,9.75,
Linear-Generator,instance_9.pddl,20,false,,,,7.76,
Linear-Generator,instance_9.pddl,30,false,,,,6.41,
Linear-Generator,instance_9.pddl,50,false,,,,6.41,
Linear-Generator,instance_9.pddl,100,false,,,,6.46,
Linear-Generator,instance_10.pddl,1,false,,,,6.29,
Linear-Generator,instance_10.pddl,2,false,,,,6.44,
Linear-Generator,instance_10.pddl,3,false,,,,6.46,
Linear-Generator,instance_10.pddl,5,false,,,,6.95,
Linear-Generator,instance_10.pddl,10,false,,,,6.44,
Linear-Generator,instance_10.pddl,20,false,,,,6.40,
Linear-Generator,instance_10.pddl,30,false,,,,6.45,
Linear-Generator,instance_10.pddl,50,false,,,,6.48,
Linear-Generator,instance_10.pddl,100,false,,,,6.47,
Descent,prob_earth01.pddl,1,true,698,797,7.00,4.21,5.47
Descent,prob_earth01.pddl,2,true,694,800,10.00,5.25,6.95
Descent,prob_earth01.pddl,3,true,20329,23485,33.01,4.36,6.08
Descent,prob_earth01.pddl,5,false,,,,5.01,
Descent,prob_earth01.pddl,10,false,,,,4.22,
Descent,prob_earth01.pddl,20,false,,,,4.15,
Descent,prob_earth01.pddl,30,false,,,,4.26,
Descent,prob_earth01.pddl,50,false,,,,4.24,
Descent,prob_earth01.pddl,100,false,,,,4.25,
Descent,prob_earth02.pddl,1,true,24768,30675,12.00,4.27,5.97
Descent,prob_earth02.pddl,2,true,4356,5146,16.00,4.24,5.59
Descent,prob_earth02.pddl,3,true,60060,70140,39.00,4.13,6.78
Descent,prob_earth02.pddl,5,true,2163,2395,30.01,4.03,5.32
Descent,prob_earth02.pddl,10,false,,,,4.22,
Descent,prob_earth02.pddl,20,false,,,,4.12,
Descent,prob_earth02.pddl,30,false,,,,4.13,
Descent,prob_earth02.pddl,50,false,,,,4.17,
Descent,prob_earth02.pddl,100,false,,,,4.13,
Descent,prob_earth03.pddl,1,true,108891,135626,15.00,5.57,9.81
Descent,prob_earth03.pddl,2,true,8527,10098,18.00,4.15,5.57
Descent,prob_earth03.pddl,3,true,7806,8978,24.01,4.06,5.47
Descent,prob_earth03.pddl,5,false,,,,4.06,
Descent,prob_earth03.pddl,10,false,,,,4.65,
Descent,prob_earth03.pddl,20,false,,,,4.15,
Descent,prob_earth03.pddl,30,false,,,,4.16,
Descent,prob_earth03.pddl,50,false,,,,4.18,
Descent,prob_earth03.pddl,100,false,,,,4.36,
Descent,prob_earth04.pddl,1,true,289014,361099,17.00,4.90,13.54
Descent,prob_earth04.pddl,2,true,15872,18789,20.00,4.12,5.71
Descent,prob_earth04.pddl,3,true,138985,162148,42.00,4.06,8.53
Descent,prob_earth04.pddl,5,true,2355,2570,30.00,4.07,5.38
Descent,prob_earth04.pddl,10,false,,,,4.07,
Descent,prob_earth04.pddl,20,false,,,,4.15,
Descent,prob_earth04.pddl,30,false,,,,4.18,
Descent,prob_earth04.pddl,50,false,,,,4.13,
Descent,prob_earth04.pddl,100,false,,,,4.16,
Descent,prob_earth05.pddl,1,true,1177949,1488322,20.00,4.58,24.79
Descent,prob_earth05.pddl,2,true,28897,34244,22.00,4.77,6.73
Descent,prob_earth05.pddl,3,true,92731,108178,39.00,4.18,7.75
Descent,prob_earth05.pddl,5,false,,,,5.19,
Descent,prob_earth05.pddl,10,false,,,,4.28,
Descent,prob_earth05.pddl,20,false,,,,4.79,
Descent,prob_earth05.pddl,30,false,,,,4.22,
Descent,prob_earth05.pddl,50,false,,,,4.22,
Descent,prob_earth05.pddl,100,false,,,,4.19,
Descent,prob_earth06.pddl,1,true,4582855,5894409,23.00,4.08,82.51
Descent,prob_earth06.pddl,2,true,87427,104113,26.00,4.16,7.34
Descent,prob_earth06.pddl,3,true,51263,59230,33.01,4.04,6.50
Descent,prob_earth06.pddl,5,false,,,,4.02,
Descent,prob_earth06.pddl,10,false,,,,4.16,
Descent,prob_earth06.pddl,20,false,,,,4.12,
Descent,prob_earth06.pddl,30,false,,,,4.19,
Descent,prob_earth06.pddl,50,false,,,,4.11,
Descent,prob_earth06.pddl,100,false,,,,4.15,
Descent,prob_earth07.pddl,1,true,11010172,14385756,25.00,4.11,184.05
Descent,prob_earth07.pddl,2,true,155038,184768,28.00,4.14,8.85
Descent,prob_earth07.pddl,3,true,156832,181823,39.01,4.06,8.88
Descent,prob_earth07.pddl,5,false,,,,4.21,
Descent,prob_earth07.pddl,10,false,,,,4.12,
Descent,prob_earth07.pddl,20,false,,,,4.16,
Descent,prob_earth07.pddl,30,false,,,,4.16,
Descent,prob_earth07.pddl,50,false,,,,4.11,
Descent,prob_earth07.pddl,100,false,,,,8.65,
Descent,prob_earth08.pddl,1,false,,,,6.72,
Descent,prob_earth08.pddl,2,true,273970,326673,30.00,5.51,14.60
Descent,prob_earth08.pddl,3,true,23498,27060,30.00,4.34,6.33
Descent,prob_earth08.pddl,5,false,,,,4.67,
Descent,prob_earth08.pddl,10,false,,,,5.30,
Descent,prob_earth08.pddl,20,false,,,,4.45,
Descent,prob_earth08.pddl,30,false,,,,4.08,
Descent,prob_earth08.pddl,50,false,,,,4.10,
Descent,prob_earth08.pddl,100,false,,,,4.12,
Descent,prob_earth09.pddl,1,false,,,,4.91,
Descent,prob_earth09.pddl,2,true,477777,570369,32.00,6.32,24.92
Descent,prob_earth09.pddl,3,true,300665,349677,42.01,5.87,18.57
Descent,prob_earth09.pddl,5,false,,,,5.97,
Descent,prob_earth09.pddl,10,false,,,,4.11,
Descent,prob_earth09.pddl,20,false,,,,4.09,
Descent,prob_earth09.pddl,30,false,,,,4.40,
Descent,prob_earth09.pddl,50,false,,,,4.46,
Descent,prob_earth09.pddl,100,false,,,,4.41,
Descent,prob_earth10.pddl,1,false,,,,5.07,
Descent,prob_earth10.pddl,2,true,494379,589036,32.00,4.41,17.32
Descent,prob_earth10.pddl,3,true,131224,152381,39.00,4.32,8.96
Descent,prob_earth10.pddl,5,false,,,,4.33,
Descent,prob_earth10.pddl,10,false,,,,4.43,
Descent,prob_earth10.pddl,20,false,,,,4.53,
Descent,prob_earth10.pddl,30,false,,,,4.42,
Descent,prob_earth10.pddl,50,false,,,,4.41,
Descent,prob_earth10.pddl,100,false,,,,4.42,
Descent,prob_earth11.pddl,1,false,,,,4.14,
Descent,prob_earth11.pddl,2,true,2420944,2902536,36.01,4.41,63.30
Descent,prob_earth11.pddl,3,true,549997,648072,45.01,4.32,19.13
Descent,prob_earth11.pddl,5,false,,,,4.36,
Descent,prob_earth11.pddl,10,false,,,,4.42,
Descent,prob_earth11.pddl,20,false,,,,4.44,
Descent,prob_earth11.pddl,30,false,,,,9.81,
Descent,prob_earth11.pddl,50,false,,,,6.23,
Descent,prob_earth11.pddl,100,false,,,,4.74,
Descent,prob_earth12.pddl,1,false,,,,5.89,
Descent,prob_earth12.pddl,2,true,4147598,4980537,40.00,5.02,119.63
Descent,prob_earth12.pddl,3,true,140700,163077,39.00,4.43,9.33
Descent,prob_earth12.pddl,5,false,,,,4.42,
Descent,prob_earth12.pddl,10,false,,,,5.50,
Descent,prob_earth12.pddl,20,false,,,,5.33,
Descent,prob_earth12.pddl,30,false,,,,4.46,
Descent,prob_earth12.pddl,50,false,,,,7.86,
Descent,prob_earth12.pddl,100,false,,,,5.65,
