Experiment,Problem,Type,Delta,Time,PlanLength,PlanningTime,HeuristicTime,SearchTime,ExpandedNodes,StatesEvaluated,PlanDuration
Baxter,P4_i5,SIMU,2,223,7,137,3,13,7,21,10
Baxter,P4_i5,SIMU,3,223,6,139,5,13,6,19,12
Baxter,P4_i5,SIMU,5,214,4,141,2,12,4,15,10
Baxter,P4_i5,SIMU,10,226,3,147,4,12,3,13,10
Baxter,P4_i5,PLAN,0.1,263,98,173,12,26,98,203,9.6
Baxter,P4_i5,PLAN,1,229,98,140,5,15,12,31,9.6
Baxter,P4_i5,PLAN,2,228,98,144,4,14,7,21,9.6
Baxter,P4_i5,PLAN,3,221,98,136,3,15,6,19,9.6
Baxter,P4_i5,PLAN,5,207,98,135,2,13,4,15,9.6
Baxter,P4_i5,PLAN,10,221,98,138,2,13,3,13,9.6
Baxter,P4_i5,DOMAIN,0.1,230,194,145,6,15,12,32,9.6
Baxter,P4_i5,DOMAIN,1,227,108,144,5,15,12,32,9.6
Baxter,P4_i5,DOMAIN,2,231,103,145,4,14,12,27,9.6
Baxter,P4_i5,DOMAIN,3,228,102,146,5,14,12,26,9.6
Baxter,P4_i5,DOMAIN,5,227,100,142,4,14,12,24,9.6
Baxter,P4_i5,DOMAIN,10,215,99,144,5,14,12,23,9.6
Baxter,P5_i1,SIMU,0.1,250,103,163,19,32,103,217,10.1
Baxter,P5_i1,SIMU,1,224,13,141,7,16,13,37,11
Baxter,P5_i1,SIMU,2,228,8,139,6,16,8,27,12
Baxter,P5_i1,SIMU,3,222,6,139,6,15,6,23,12
Baxter,P5_i1,SIMU,5,227,5,142,6,15,5,21,15
Baxter,P5_i1,SIMU,10,236,4,148,5,17,10,41,20
Baxter,P5_i1,PLAN,0.1,254,103,166,14,32,103,217,10.1
Baxter,P5_i1,PLAN,1,234,103,151,2,18,13,37,10.1
Baxter,P5_i1,PLAN,2,231,103,145,4,17,8,27,10.1
Baxter,P5_i1,PLAN,3,230,103,147,3,16,6,23,10.1
Baxter,P5_i1,PLAN,5,232,103,146,4,15,5,21,10.1
Baxter,P5_i1,PLAN,10,227,103,145,4,15,4,19,10.1
Baxter,P5_i1,DOMAIN,0.1,243,204,158,8,18,13,38,10.1
Baxter,P5_i1,DOMAIN,1,245,114,162,7,18,13,38,10.1
Baxter,P5_i1,DOMAIN,2,244,109,159,5,17,13,33,10.1
Baxter,P5_i1,DOMAIN,3,243,107,156,6,17,13,31,10.1
Baxter,P5_i1,DOMAIN,5,247,106,160,7,17,13,30,10.1
Baxter,P5_i1,DOMAIN,10,241,105,156,4,16,13,29,10.1
Baxter,P5_i2,SIMU,0.1,248,87,164,19,31,87,209,8.1
