Experiment,Problem,Type,Delta,Time,PlanLength,PlanningTime,HeuristicTime,SearchTime,ExpandedNodes,StatesEvaluated,PlanDuration
Baxter,P4_i4,DOMAIN,1,225,11,142,8,20,7,22,5
Baxter,P4_i4,DOMAIN,2,223,9,140,9,20,7,20,5
Baxter,P4_i4,DOMAIN,3,226,8,142,9,20,7,19,5
Baxter,P4_i4,DOMAIN,5,237,7,152,9,19,7,18,5
Baxter,P4_i4,DOMAIN,10,225,7,141,8,19,7,18,5
Baxter,P4_i4,DOMAIN,50,227,7,143,8,19,7,18,5
Baxter,P4_i4,DOMAIN,100,226,7,143,11,22,7,18,5
Baxter,P4_i5,SIMU,1,233,12,148,16,27,12,31,10
Baxter,P4_i5,SIMU,2,232,7,146,9,20,7,21,10
Baxter,P4_i5,SIMU,3,220,6,137,6,18,6,19,12
Baxter,P4_i5,SIMU,5,202,4,132,6,17,4,15,10
Baxter,P4_i5,SIMU,10,204,3,135,6,15,3,13,10
Baxter,P4_i5,SIMU,50,247,9,164,31,48,139,240,100
Baxter,P4_i5,SIMU,100,248,9,163,32,47,139,240,200
Baxter,P4_i5,PLAN,1,232,12,143,16,27,12,31,10
Baxter,P4_i5,PLAN,2,222,12,139,11,23,7,21,10
Baxter,P4_i5,PLAN,3,223,12,139,11,22,6,19,10
Baxter,P4_i5,PLAN,5,224,12,137,9,21,4,15,10
Baxter,P4_i5,PLAN,10,219,12,138,8,20,3,13,10
Baxter,P4_i5,PLAN,50,221,12,137,8,21,3,13,10
Baxter,P4_i5,PLAN,100,218,12,136,10,20,3,13,10
Baxter,P4_i5,DOMAIN,1,283,22,199,63,76,31,255,10
Baxter,P4_i5,DOMAIN,2,264,17,179,41,56,30,129,10
Baxter,P4_i5,DOMAIN,3,255,16,172,33,44,23,73,10
Baxter,P4_i5,DOMAIN,5,248,14,164,22,33,18,42,10
Baxter,P4_i5,DOMAIN,10,236,13,152,15,25,13,24,10
Baxter,P4_i5,DOMAIN,50,228,13,146,14,26,13,24,10
Baxter,P4_i5,DOMAIN,100,235,13,151,14,26,13,24,10
Baxter,P5_i1,SIMU,1,275,16,192,55,69,30,155,12
Baxter,P5_i1,SIMU,2,241,8,158,21,35,12,59,12
Baxter,P5_i1,SIMU,3,241,6,159,18,38,14,75,12
Baxter,P5_i1,SIMU,5,229,6,143,12,23,7,25,25
Baxter,P5_i1,SIMU,10,19361,4,19273,17976,19154,193953,454121,20
Baxter,P5_i1,SIMU,50,221,3,140,8,20,9,23,50
Baxter,P5_i1,SIMU,100,223,3,140,6,18,9,23,100
Baxter,P5_i1,PLAN,1,275,16,192,52,70,30,155,12
Baxter,P5_i1,PLAN,2,264,21,181,41,58,19,97,17
Baxter,P5_i1,PLAN,3,269,21,182,39,52,13,75,17
Baxter,P5_i1,PLAN,5,260,20,172,29,44,10,56,16
Baxter,P5_i1,PLAN,10,250,25,167,22,35,7,37,21
Baxter,P5_i1,PLAN,50,241,66,158,21,35,6,35,61
Baxter,P5_i1,PLAN,100,258,220,175,36,51,10,69,211
Baxter,P5_i1,DOMAIN,1,498,28,420,261,289,158,2338,12
Baxter,P5_i1,DOMAIN,2,323,24,238,93,109,60,446,13
Baxter,P5_i1,DOMAIN,3,291,23,207,58,77,56,265,14
Baxter,P5_i1,DOMAIN,5,252,16,170,30,41,21,54,11
Baxter,P5_i1,DOMAIN,10,245,15,159,18,29,16,32,11
Baxter,P5_i1,DOMAIN,50,249,25,160,21,32,25,40,23
Baxter,P5_i1,DOMAIN,100,242,25,160,22,32,25,40,23
Baxter,P5_i2,SIMU,1,921,23,844,662,718,2269,10800,10
Baxter,P5_i2,SIMU,2,243,15,161,30,40,16,91,12
Baxter,P5_i2,SIMU,3,239,11,155,23,34,12,71,12
Baxter,P5_i2,SIMU,5,244,11,156,23,35,12,71,20
Baxter,P5_i2,SIMU,10,234,5,148,14,26,10,39,20
Baxter,P5_i2,SIMU,50,UNSAT,-,-,-,-,-,-,-
Baxter,P5_i2,SIMU,100,UNSAT,-,-,-,-,-,-,-
Baxter,P5_i2,PLAN,1,923,23,843,665,719,2269,10800,10
Baxter,P5_i2,PLAN,2,250,23,167,30,45,17,92,12
Baxter,P5_i2,PLAN,3,237,18,155,21,35,10,55,10
Baxter,P5_i2,PLAN,5,240,25,157,26,38,12,71,16
Baxter,P5_i2,PLAN,10,243,33,160,25,37,10,54,26
Baxter,P5_i2,PLAN,50,255,117,170,30,44,17,61,106
Baxter,P5_i2,PLAN,100,236,118,154,16,32,6,35,106
Baxter,P5_i2,DOMAIN,1,13150,33,13054,12537,12927,16881,211328,10
Baxter,P5_i2,DOMAIN,2,290,31,202,55,72,36,211,12
Baxter,P5_i2,DOMAIN,3,254,21,172,29,41,17,65,10
Baxter,P5_i2,DOMAIN,5,299,25,212,68,84,105,248,16
Baxter,P5_i2,DOMAIN,10,362,38,288,136,157,398,638,29
Baxter,P5_i2,DOMAIN,50,3002,131,2926,2692,2799,12636,15515,119
Baxter,P5_i2,DOMAIN,100,634,130,547,393,418,1066,1225,119
Baxter,P5_i3,SIMU,1,233,8,150,15,27,9,29,7
Baxter,P5_i3,SIMU,2,233,5,146,11,24,6,23,8
Baxter,P5_i3,SIMU,3,233,4,145,9,22,5,21,9
Baxter,P5_i3,SIMU,5,227,3,144,9,20,4,19,10
Baxter,P5_i3,SIMU,10,225,2,142,9,19,3,17,10
Baxter,P5_i3,SIMU,50,232,8,148,13,26,18,44,100
Baxter,P5_i3,SIMU,100,242,8,157,14,26,18,44,200
Baxter,P5_i3,PLAN,1,251,8,156,17,29,9,29,7
Baxter,P5_i3,PLAN,2,237,8,153,10,26,6,23,7
Baxter,P5_i3,PLAN,3,234,8,151,15,27,5,21,7
Baxter,P5_i3,PLAN,5,231,8,148,12,24,4,19,7
Baxter,P5_i3,PLAN,10,228,8,147,13,26,3,17,7
Baxter,P5_i3,PLAN,50,230,8,147,13,25,3,17,7
Baxter,P5_i3,PLAN,100,227,8,145,12,25,3,17,7
Baxter,P5_i3,DOMAIN,1,239,15,157,17,28,9,30,7
Baxter,P5_i3,DOMAIN,2,242,12,155,15,26,9,27,7
Baxter,P5_i3,DOMAIN,3,235,11,154,15,27,9,26,7
Baxter,P5_i3,DOMAIN,5,239,10,156,14,26,9,25,7
Baxter,P5_i3,DOMAIN,10,235,9,153,15,26,9,24,7
Baxter,P5_i3,DOMAIN,50,240,9,156,16,26,9,24,7
Baxter,P5_i3,DOMAIN,100,239,9,158,16,28,9,24,7
Baxter,P5_i4,SIMU,1,269,32,187,48,64,37,220,16
Baxter,P5_i4,SIMU,2,261,16,173,31,45,19,110,16
Baxter,P5_i4,SIMU,3,TO,-,-,-,-,-,-,-
Baxter,P5_i4,SIMU,5,247,8,160,18,31,9,54,20
Baxter,P5_i4,SIMU,10,TO,-,-,-,-,-,-,-
Baxter,P5_i4,SIMU,50,UNSAT,-,-,-,-,-,-,-
Baxter,P5_i4,SIMU,100,UNSAT,-,-,-,-,-,-,-
Baxter,P5_i4,PLAN,1,297,32,220,61,81,37,220,16
Baxter,P5_i4,PLAN,2,280,24,182,38,52,18,109,16
Baxter,P5_i4,PLAN,3,273,24,176,36,47,15,90,16
Baxter,P5_i4,PLAN,5,263,23,173,32,44,11,70,17
Baxter,P5_i4,PLAN,10,293,28,196,46,61,27,115,24
Baxter,P5_i4,PLAN,50,260,59,171,18,35,6,35,54
Baxter,P5_i4,PLAN,100,287,213,185,27,44,10,54,204
Baxter,P5_i4,DOMAIN,1,461,48,358,188,220,93,1135,16
Baxter,P5_i4,DOMAIN,2,311,32,220,68,82,42,267,16
Baxter,P5_i4,DOMAIN,3,288,30,215,65,78,38,182,16
Baxter,P5_i4,DOMAIN,5,289,27,213,57,73,51,146,17
Baxter,P5_i4,DOMAIN,10,411,31,313,150,168,460,667,24
Baxter,P5_i4,DOMAIN,50,306,61,220,66,79,73,104,54
Baxter,P5_i4,DOMAIN,100,1148,216,1065,885,929,2559,2926,204
Baxter,P5_i5,SIMU,1,TO,-,-,-,-,-,-,-
Baxter,P5_i5,SIMU,2,TO,-,-,-,-,-,-,-
Baxter,P5_i5,SIMU,3,TO,-,-,-,-,-,-,-
Baxter,P5_i5,SIMU,5,TO,-,-,-,-,-,-,-
Baxter,P5_i5,SIMU,10,TO,-,-,-,-,-,-,-
Baxter,P5_i5,SIMU,50,UNSAT,-,-,-,-,-,-,-
Baxter,P5_i5,SIMU,100,UNSAT,-,-,-,-,-,-,-
Baxter,P5_i5,PLAN,1,TO,-,-,-,-,-,-,-
Baxter,P5_i5,PLAN,2,TO,-,-,-,-,-,-,-
Baxter,P5_i5,PLAN,3,TO,-,-,-,-,-,-,-
Baxter,P5_i5,PLAN,5,TO,-,-,-,-,-,-,-
Baxter,P5_i5,PLAN,10,TO,-,-,-,-,-,-,-
Baxter,P5_i5,PLAN,50,TO,-,-,-,-,-,-,-
Baxter,P5_i5,PLAN,100,TO,-,-,-,-,-,-,-
Baxter,P5_i5,DOMAIN,1,TO,-,-,-,-,-,-,-
Baxter,P5_i5,DOMAIN,2,TO,-,-,-,-,-,-,-
Baxter,P5_i5,DOMAIN,3,TO,-,-,-,-,-,-,-
Baxter,P5_i5,DOMAIN,5,TO,-,-,-,-,-,-,-
Baxter,P5_i5,DOMAIN,10,TO,-,-,-,-,-,-,-
Baxter,P5_i5,DOMAIN,50,TO,-,-,-,-,-,-,-
Baxter,P5_i5,DOMAIN,100,TO,-,-,-,-,-,-,-
Baxter,P6_i1,SIMU,1,258,9,166,18,31,10,35,8
Baxter,P6_i1,SIMU,2,248,5,159,14,24,6,27,8
Baxter,P6_i1,SIMU,3,256,4,163,12,24,5,25,9
Baxter,P6_i1,SIMU,5,244,3,159,14,24,7,26,10
Baxter,P6_i1,SIMU,10,243,2,156,10,22,4,22,10
Baxter,P6_i1,SIMU,50,255,4,161,13,24,11,29,50
Baxter,P6_i1,SIMU,100,262,4,165,17,29,11,29,100
Baxter,P6_i1,PLAN,1,283,9,169,20,33,10,35,8
Baxter,P6_i1,PLAN,2,243,9,158,16,30,6,27,8
Baxter,P6_i1,PLAN,3,249,9,164,16,29,5,25,8
Baxter,P6_i1,PLAN,5,249,9,163,17,30,4,23,8
Baxter,P6_i1,PLAN,10,245,9,162,16,28,3,21,8
Baxter,P6_i1,PLAN,50,249,9,160,17,28,3,21,8
Baxter,P6_i1,PLAN,100,249,9,162,15,27,3,21,8
Baxter,P6_i1,DOMAIN,1,309,17,224,66,81,14,120,8
Baxter,P6_i1,DOMAIN,2,275,13,184,29,41,12,54,8
Baxter,P6_i1,DOMAIN,3,268,12,171,20,31,10,31,8
Baxter,P6_i1,DOMAIN,5,264,11,172,18,30,10,30,8
Baxter,P6_i1,DOMAIN,10,258,10,172,19,30,10,29,8
Baxter,P6_i1,DOMAIN,50,254,10,169,18,30,10,29,8
Baxter,P6_i1,DOMAIN,100,258,10,174,21,32,10,29,8
Baxter,P6_i2,SIMU,1,886,21,791,605,655,1728,7662,9
Baxter,P6_i2,SIMU,2,598,20,510,332,372,924,4137,12
Baxter,P6_i2,SIMU,3,296,9,209,58,74,55,280,9
Baxter,P6_i2,SIMU,5,258,6,166,12,25,6,27,20
Baxter,P6_i2,SIMU,10,251,5,159,13,24,3,21,10
Baxter,P6_i2,SIMU,50,252,6,161,13,25,7,25,50
Baxter,P6_i2,SIMU,100,246,6,159,13,24,7,25,100
Baxter,P6_i2,PLAN,1,866,21,790,603,651,1728,7662,9
Baxter,P6_i2,PLAN,2,401,17,310,152,174,166,1058,9
Baxter,P6_i2,PLAN,3,523,24,432,267,298,474,2014,14
Baxter,P6_i2,PLAN,5,501,25,414,247,281,478,1836,18
Baxter,P6_i2,PLAN,10,264,18,169,25,37,5,24,16
Baxter,P6_i2,PLAN,50,252,18,161,16,26,3,21,16
Baxter,P6_i2,PLAN,100,247,18,162,15,26,3,21,16
Baxter,P6_i2,DOMAIN,1,12312,30,12226,11702,12079,22213,163837,9
Baxter,P6_i2,DOMAIN,2,676,22,585,413,447,597,4083,9
Baxter,P6_i2,DOMAIN,3,17378,19,17281,16571,17144,66053,167355,8
Baxter,P6_i2,DOMAIN,5,304,12,216,60,76,72,152,6
Baxter,P6_i2,DOMAIN,10,260,11,178,28,40,26,45,6
Baxter,P6_i2,DOMAIN,50,252,19,169,20,32,18,37,16
Baxter,P6_i2,DOMAIN,100,252,19,169,19,32,18,37,16
Baxter,P6_i3,SIMU,1,499,27,409,243,277,405,2253,13
Baxter,P6_i3,SIMU,2,433,22,346,185,212,321,1630,16
Baxter,P6_i3,SIMU,3,408,20,318,154,185,267,1293,18
Baxter,P6_i3,SIMU,5,423,12,327,164,188,281,1282,20
Baxter,P6_i3,SIMU,10,246,10,163,15,30,7,44,20
Baxter,P6_i3,SIMU,50,252,6,169,15,28,7,25,50
Baxter,P6_i3,SIMU,100,282,6,187,15,29,7,25,100
Baxter,P6_i3,PLAN,1,492,27,408,238,272,405,2253,13
Baxter,P6_i3,PLAN,2,12093,34,11998,11467,11866,35419,128043,19
Baxter,P6_i3,PLAN,3,535,31,448,280,317,504,2202,13
Baxter,P6_i3,PLAN,5,395,27,295,126,152,115,673,17
Baxter,P6_i3,PLAN,10,286,38,191,35,50,9,48,32
Baxter,P6_i3,PLAN,50,2951,287,2863,2380,2723,5962,21923,256
Baxter,P6_i3,PLAN,100,1915,332,1829,1279,1689,3650,11757,303
Baxter,P6_i3,DOMAIN,1,4128,40,4019,3725,3864,3911,45815,13
Baxter,P6_i3,DOMAIN,2,32570,41,32483,31419,32343,91433,317268,15
Baxter,P6_i3,DOMAIN,3,23800,44,23688,22722,23537,92972,228573,19
Baxter,P6_i3,DOMAIN,5,680,31,591,415,448,1913,3801,17
Baxter,P6_i3,DOMAIN,10,278,29,195,42,60,33,72,19
Baxter,P6_i3,DOMAIN,50,929,81,837,648,694,3397,3734,69
Baxter,P6_i3,DOMAIN,100,2278,125,2184,1962,2042,11825,12373,109
Baxter,P6_i4,SIMU,1,TO,-,-,-,-,-,-,-
Baxter,P6_i4,SIMU,2,TO,-,-,-,-,-,-,-
Baxter,P6_i4,SIMU,3,TO,-,-,-,-,-,-,-
Baxter,P6_i4,SIMU,5,TO,-,-,-,-,-,-,-
Baxter,P6_i4,SIMU,10,TO,-,-,-,-,-,-,-
Baxter,P6_i4,SIMU,50,UNSAT,-,-,-,-,-,-,-
Baxter,P6_i4,SIMU,100,UNSAT,-,-,-,-,-,-,-
Baxter,P6_i4,PLAN,1,TO,-,-,-,-,-,-,-
Baxter,P6_i4,PLAN,2,TO,-,-,-,-,-,-,-
Baxter,P6_i4,PLAN,3,17621,188,17526,16815,17397,36762,200837,137
Baxter,P6_i4,PLAN,5,3799,167,3710,3440,3577,6990,32602,131
Baxter,P6_i4,PLAN,10,561,175,468,286,332,523,2332,142
Baxter,P6_i4,PLAN,50,TO,-,-,-,-,-,-,-
Baxter,P6_i4,PLAN,100,3578,1188,3501,2617,3366,7255,22052,1103
Baxter,P6_i4,DOMAIN,1,TO,-,-,-,-,-,-,-
Baxter,P6_i4,DOMAIN,2,TO,-,-,-,-,-,-,-
Baxter,P6_i4,DOMAIN,3,2228,43,2135,1919,2002,3583,16421,24
Baxter,P6_i4,DOMAIN,5,TO,-,-,-,-,-,-,-
Baxter,P6_i4,DOMAIN,10,297,45,210,57,73,50,110,32
Baxter,P6_i4,DOMAIN,50,TO,-,-,-,-,-,-,-
Baxter,P6_i4,DOMAIN,100,TO,-,-,-,-,-,-,-
Baxter,P6_i5,SIMU,1,TO,-,-,-,-,-,-,-
Baxter,P6_i5,SIMU,2,40214,44,40130,38745,40001,90935,500620,52
Baxter,P6_i5,SIMU,3,26860,25,26761,25927,26633,54603,288769,42
Baxter,P6_i5,SIMU,5,6696,15,6614,6273,6488,16175,90498,25
Baxter,P6_i5,SIMU,10,TO,-,-,-,-,-,-,-
Baxter,P6_i5,SIMU,50,246,11,161,20,30,13,49,100
Baxter,P6_i5,SIMU,100,248,11,160,20,30,13,49,200
Baxter,P6_i5,PLAN,1,TO,-,-,-,-,-,-,-
Baxter,P6_i5,PLAN,2,16158,83,16058,15459,15928,30520,173930,61
Baxter,P6_i5,PLAN,3,654,78,577,417,447,356,1975,60
Baxter,P6_i5,PLAN,5,17723,90,17638,16806,17513,42588,244882,72
Baxter,P6_i5,PLAN,10,12669,123,12570,11847,12440,29380,168484,102
Baxter,P6_i5,PLAN,50,3266,333,3187,2688,3058,7012,38902,302
Baxter,P6_i5,PLAN,100,3236,858,3156,2453,3024,6465,34408,802
Baxter,P6_i5,DOMAIN,1,TO,-,-,-,-,-,-,-
Baxter,P6_i5,DOMAIN,2,TO,-,-,-,-,-,-,-
Baxter,P6_i5,DOMAIN,3,4469,48,4376,4093,4241,7485,33537,26
Baxter,P6_i5,DOMAIN,5,555,44,463,290,322,464,1224,27
Baxter,P6_i5,DOMAIN,10,308,33,223,63,82,57,116,22
Baxter,P6_i5,DOMAIN,50,530,171,438,273,295,592,771,151
Baxter,P6_i5,DOMAIN,100,TO,-,-,-,-,-,-,-
Baxter,P7_i1,SIMU,1,TO,-,-,-,-,-,-,-
Baxter,P7_i1,SIMU,2,TO,-,-,-,-,-,-,-
Baxter,P7_i1,SIMU,3,TO,-,-,-,-,-,-,-
Baxter,P7_i1,SIMU,5,267,13,181,31,43,9,57,25
Baxter,P7_i1,SIMU,10,49458,15,49372,47781,49237,105626,551465,50
Baxter,P7_i1,SIMU,50,2606,15,2528,2272,2392,11026,24519,100
Baxter,P7_i1,SIMU,100,2658,15,2582,2320,2446,11026,24519,200
Baxter,P7_i1,PLAN,1,TO,-,-,-,-,-,-,-
Baxter,P7_i1,PLAN,2,TO,-,-,-,-,-,-,-
Baxter,P7_i1,PLAN,3,49610,80,49526,48163,49384,70869,380348,51
Baxter,P7_i1,PLAN,5,12722,47,12639,12103,12505,21149,92764,35
Baxter,P7_i1,PLAN,10,1497,68,1420,1206,1287,2118,8494,54
Baxter,P7_i1,PLAN,50,TO,-,-,-,-,-,-,-
Baxter,P7_i1,PLAN,100,TO,-,-,-,-,-,-,-
Baxter,P7_i1,DOMAIN,1,TO,-,-,-,-,-,-,-
Baxter,P7_i1,DOMAIN,2,TO,-,-,-,-,-,-,-
Baxter,P7_i1,DOMAIN,3,40052,94,39970,38733,39830,76772,327924,48
Baxter,P7_i1,DOMAIN,5,469,42,379,206,234,289,745,25
Baxter,P7_i1,DOMAIN,10,465,38,376,209,236,406,717,25
Baxter,P7_i1,DOMAIN,50,TO,-,-,-,-,-,-,-
Baxter,P7_i1,DOMAIN,100,TO,-,-,-,-,-,-,-
Baxter,P7_i2,SIMU,1,794,45,703,530,566,651,4279,22
Baxter,P7_i2,SIMU,2,642,30,549,373,414,693,3389,26
Baxter,P7_i2,SIMU,3,TO,-,-,-,-,-,-,-
Baxter,P7_i2,SIMU,5,TO,-,-,-,-,-,-,-
Baxter,P7_i2,SIMU,10,TO,-,-,-,-,-,-,-
Baxter,P7_i2,SIMU,50,1372,24,1292,1070,1155,7466,11699,200
Baxter,P7_i2,SIMU,100,1350,24,1275,1048,1140,7466,11699,400
Baxter,P7_i2,PLAN,1,816,45,725,554,592,651,4279,22
Baxter,P7_i2,PLAN,2,572,41,495,317,360,709,2646,26
Baxter,P7_i2,PLAN,3,TO,-,-,-,-,-,-,-
Baxter,P7_i2,PLAN,5,302,33,217,60,81,17,110,26
Baxter,P7_i2,PLAN,10,TO,-,-,-,-,-,-,-
Baxter,P7_i2,PLAN,50,318,119,232,69,94,23,159,104
